60 96
8	1	10	2
3	3	6	5
5	6	8	8
12	7	13	9
3	9	4	13
5	13	12	14
8	16	10	17
3	18	6	20
5	21	8	23
12	22	13	24
3	24	4	28
5	28	12	29
23	1	25	2
18	3	21	5
20	6	22	8
27	7	28	9
18	9	19	13
20	13	27	14
23	16	25	17
18	18	21	20
20	21	22	23
27	22	28	24
18	24	19	28
20	28	27	29
8	31	10	32
3	33	6	35
5	36	8	38
12	37	13	39
3	39	4	43
5	43	12	44
8	46	10	47
3	48	6	50
5	51	8	53
12	52	13	54
3	54	4	58
5	58	12	59
23	31	25	32
18	33	21	35
20	36	22	38
27	37	28	39
18	39	19	43
20	43	27	44
23	46	25	47
18	48	21	50
20	51	22	53
27	52	28	54
18	54	19	58
20	58	27	59
38	1	40	2
33	3	36	5
35	6	38	8
42	7	43	9
33	9	34	13
35	13	42	14
38	16	40	17
33	18	36	20
35	21	38	23
42	22	43	24
33	24	34	28
35	28	42	29
53	1	55	2
48	3	51	5
50	6	52	8
57	7	58	9
48	9	49	13
50	13	57	14
53	16	55	17
48	18	51	20
50	21	52	23
57	22	58	24
48	24	49	28
50	28	57	29
38	31	40	32
33	33	36	35
35	36	38	38
42	37	43	39
33	39	34	43
35	43	42	44
38	46	40	47
33	48	36	50
35	51	38	53
42	52	43	54
33	54	34	58
35	58	42	59
53	31	55	32
48	33	51	35
50	36	52	38
57	37	58	39
48	39	49	43
50	43	57	44
53	46	55	47
48	48	51	50
50	51	52	53
57	52	58	54
48	54	49	58
50	58	57	59



15 6
8	1	10	2
3	3	6	5
5	6	8	8
12	7	13	9
3	9	4	13
5	13	12	14


30 24
8	1	10	2
3	3	6	5
5	6	8	8
12	7	13	9
3	9	4	13
5	13	12	14
8	16	10	17
3	18	6	20
5	21	8	23
12	22	13	24
3	24	4	28
5	28	12	29
23	1	25	2
18	3	21	5
20	6	22	8
27	7	28	9
18	9	19	13
20	13	27	14
23	16	25	17
18	18	21	20
20	21	22	23
27	22	28	24
18	24	19	28
20	28	27	29




5	0	6	4
12	0	14	1
11	2	14	4
9	5	12	7
13	5	14	7
7	8	14	9

